DAPI1st,DAPI2nd,DAPI3rd,GABA488,GAD647,gephyrin594,GS594,MBP488,NR1594,PSD95_488,Synapsin647,VGluT1_647
96.4522695663,18.8319635858,22.8618030092,3.02200025288,21.0319888734,8.39347578708,8.12353015552,0.0867366291567,3.06524212922,30.6345935011,22.6477430775,12.8040207359
120.769341874,16.9280959558,19.2062295906,0.0,35.5514318011,11.1728208993,6.91572469229,0.545779954785,10.1083270535,26.8370384326,23.1119065561,14.2337352424
77.1057363014,17.9601883562,20.7294520548,4.21175799087,38.5479452055,9.36729452055,14.7619863014,2.60131278539,9.96075913242,56.8434646119,31.5833333333,4.19235159817
92.0011366058,19.4066207288,25.3945442921,3.25701498899,23.4135114016,9.17020672018,9.20032677417,0.0,3.52866377779,28.0426937558,23.9026781274,12.2676706685
110.235850725,18.2039264238,20.6634241245,0.761142553944,25.3715068978,10.0072515034,12.0334276618,0.0736646621861,3.06641315883,48.4292536258,27.7347895295,17.5993102229
85.3722586158,15.4636855597,16.9581315864,4.37852463686,24.0236399886,8.93990316149,8.03246938194,2.0,2.32440900028,2.32412418114,15.8573056109,4.43776701794
119.427063935,14.5592799503,16.0,2.59590316574,27.1707014277,10.0310366232,8.0,2.0,3.0,28.3308504035,35.2079453755,11.5487274984
113.609863712,20.0157858614,24.2984606334,7.23531718796,22.8177272282,9.66535934896,9.79772526718,2.28777331111,11.2847337974,23.1020688303,22.1155995686,17.7662515933
103.099038677,18.7974513749,21.7822490499,6.21350324167,20.536105522,9.9474625531,9.99150458305,2.7619047619,3.13234965348,14.442432372,24.2425665102,4.93740219092
105.844654088,19.5980345912,22.5467767296,5.85314465409,20.9728773585,10.3531446541,10.209827044,0.313757861635,8.83938679245,41.4588050314,11.8879716981,3.25007861635
109.579791997,18.9343618707,25.3872167505,0.592533921069,22.0861629589,10.4390109512,9.00730077829,2.02679247882,4.58881465666,29.7075556168,26.2454714512,19.235346787
105.098932491,19.9201623816,26.133814464,0.740339798527,31.9963915201,10.016388513,11.9478273944,2.01262967975,5.17170350323,35.8126597504,34.7949180574,20.2231243422
102.60684624,19.3305274972,23.4502805836,9.64343434343,22.1837261504,9.69607182941,10.6960718294,2.27508417508,11.449382716,21.4335578002,37.1931537598,11.5224466891
117.180324843,20.6189091916,26.4101605759,6.79023624954,36.6962440015,8.8761535622,10.4902177925,2.52413252123,6.51974898487,46.8124307863,26.6778792913,12.1371354743
94.5851531639,19.1004695536,26.1104568831,6.68197063427,24.0523216814,9.28381903555,13.0734143251,2.21532384289,6.54997391369,39.547887009,22.9638518298,16.6629648953
103.409526718,19.8367022901,26.5286717557,4.92506870229,25.303389313,8.7198778626,10.4834198473,2.7652519084,10.048,24.770870229,23.5168854962,20.3436335878
99.7556117229,19.6608292712,26.7378588193,3.86128663417,32.6055244629,8.97075284347,44.0477222122,2.0,6.56394054282,53.3820184149,26.6729854968,21.4728290305
102.601482369,19.6120386314,24.0929849517,13.949389833,24.4520476155,72.3499288762,12.9731227072,0.621621621622,2.97170023209,2.33166130119,17.7426817399,5.02792543236
95.5625843455,18.0371120108,26.8539136302,6.68674089069,38.6231443995,8.71558704453,13.8763495277,2.1818488529,24.4164979757,8.73937246964,24.636977058,8.78964237517
112.563919984,20.6841094257,27.1494667815,6.06815923693,30.0934953964,9.15546134994,10.5628932901,2.17142478638,4.53285420945,25.1022057362,49.7078227462,14.2840299397
137.05066251,20.7373343726,25.1184723305,0.0,22.5939204988,10.5666406859,8.44738893219,2.98674980514,4.34996102884,83.0989867498,29.1254871395,30.0553390491
120.264376044,19.182931679,26.3246639625,6.37473156764,28.7013839179,9.42750338026,10.0214348206,2.02036109123,5.06684959835,52.6424083353,44.6348524616,17.0170205997
117.833572534,20.8300830167,26.0517236527,7.56473898973,38.3157168988,9.64868439567,12.3286337414,2.19000984944,7.34748839173,45.0255241311,35.8476994512,14.5944280287
80.6064131017,21.7694191475,26.1069870667,6.80745389148,23.346827887,7.89393127726,9.10897681182,2.09129869136,3.31606336573,27.5907247264,22.1275732762,11.3622866764
76.7327252626,23.9906025428,29.8032061913,5.10281923715,22.9707020453,9.08126036484,7.98922056385,2.78275290216,6.14731896075,4.97540077391,14.1976229961,8.74765063571
99.2044387537,22.9627400768,28.3579598805,3.73777208707,32.60657277,8.11903542467,10.2083226633,2.2574477166,4.60947503201,56.396841656,40.3021340162,20.4706786172
107.96479648,21.0676567657,22.5132013201,8.74752475248,34.2299229923,6.01136780345,10.469563623,3.1635496883,12.0363036304,48.2246057939,17.2841950862,14.0278694536
136.845724511,26.671211282,33.8729922031,5.82391035746,22.0866601338,8.93775297175,8.84670444378,2.0,6.3230369392,30.614076946,29.4197094287,35.6706148012
104.873352282,24.552894837,27.8376116196,5.32177785735,34.7130899895,9.41514670009,13.0014323121,2.23639863035,17.7490320704,37.3134077837,33.9707271222,20.540787324
74.9811046512,19.9651162791,21.7695182724,6.65967607973,24.4112333887,8.39773671096,11.3464493355,2.38590116279,6.85641611296,24.2977574751,31.541320598,13.1253114618
82.4544453418,22.9259232068,29.3401365539,4.49673298583,30.0521988107,6.91146024521,9.5454812422,2.4750018354,6.23133396961,36.076866603,29.6077380515,14.4983481389
85.7242060878,21.9919620503,25.8483331137,0.550599551983,28.3784424825,8.15351166162,7.74351034392,2.09092106997,4.50250362367,31.0459876137,28.0651601001,11.4688364738
104.846251053,22.8066554339,28.9309182814,120.527379949,163.689974726,7.72409435552,25.4271272115,2.0,3.21229991575,2.79106992418,57.8070766639,14.4052232519
78.243586027,21.2310117408,25.51467604,4.7037614147,29.2913828091,7.80881287143,8.93846934338,0.88574431077,3.11113929555,47.6706044354,19.494673141,14.9422017684
75.2953435647,20.2782525288,20.9002441577,19.1950645274,34.2758109522,8.55711545169,14.5458667597,2.82185211022,3.90102895012,2.5747296826,19.7889780258,7.29325078479
78.0895833333,21.018125,25.4625,36.545625,53.3927083333,30.8527083333,24.9566666667,1.54833333333,7.48458333333,2.489375,23.6514583333,8.894375
64.6678525226,16.7823415265,19.121927555,3.94987063389,28.010996119,6.04915912031,7.53428201811,2.0,1.25032341527,1.06662354463,28.1177231565,5.51811125485
